1582,Prezista,Darunavirum,tabletki powlekane,150 mg,240 tabl.,5909990715435,Rpz,"Janssen-Cilag
International N.V.",Janssen-Cilag S.p.A.,IT
1583,Prezista,Darunavirum,tabletki powlekane,300 mg,120 tabl.,5909990022649,Rpz,"Janssen-Cilag
International N.V.",Janssen-Cilag S.p.A.,IT
1584,Prezista,Darunavirum,tabletki powlekane,400 mg,60 tabl.,5909990664542,Rpz,"Janssen-Cilag
International N.V.",Janssen Cilag S.p.A,IT
1585,Prezista,Darunavirum,tabletki powlekane,600 mg,60 tabl.,5909990666096,Rpz,"Janssen-Cilag
International N.V.",Janssen-Cilag S.p.A.,IT
1586,Prezista,Darunavirum,tabletki powlekane,800 mg,"30 tabl.
90 tabl.",5909991056209,"Rpz
Rpz","Janssen-Cilag
International N.V.",Janssen-Cilag S.p.A.,IT
1587,Prezista,Darunavirum,zawiesina doustna,100 mg/ml,1 butelka 200 ml,,Rpz,"Janssen-Cilag
International N.V.",Janssen-Cilag S.p.A.,IT
1588,Prialt,Ziconotidum,roztwór do infuzji,100 mcg/ml,"1 fiol. 1 ml
1 fiol. 2 ml
1 fiol. 5 ml",,"Rpz
Rpz
Rpz",Eisai Limited,Eisai Manufacturing Ltd.,GB
1589,Prialt,Ziconotidum,roztwór do infuzji,25 mcg/ml,1 fiol. 20 ml,,Rpz,Eisai Limited,Eisai Manufacturing Ltd.,GB
1590,Pritor,Telmisartanum,tabletki,20 mg,"14 tabl.
28 tabl.
30 tabl.
56 tabl.
90 tabl.
98 tabl.","5909990977512
5909990977529
5909990030644
5909990977536
5909990977543","Rp
Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
1591,Pritor,Telmisartanum,tabletki,40 mg,"14 tabl.
28 tabl. (28 x 1)
28 tabl.
30 tabl.
56 tabl.
90 tabl.
98 tabl.
280 tabl.","5909990463411
5909990463428
5909990030651
5909990463435
5909990463442
5909990463459","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
1592,Pritor,Telmisartanum,tabletki,80 mg,"14 tabl.
28 tabl.
30 tabl.
56 tabl.
98 tabl.
280 tabl.","5909990463510
5909990463527
5909990030668
5909990463534
5909990463541
5909990463558","Rp
Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
1593,PritorPlus,"Telmisartanum +
Hydrochlorothiazidum",tabletki,"40 mg + 12,5
mg","14 tabl.
28 tabl.
28 tabl. (28 x 1)
30 tabl.
98 tabl.","5909991068318
5909991068325
5909991068356
5909990030675
5909991068349","Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
1594,PritorPlus,"Telmisartanum +
Hydrochlorothiazidum",tabletki,"80 mg + 12,5
mg","14 tabl.
28 tabl.
28 tabl. (28 x 1)
30 tabl.
56 tabl.","5909991068417
5909991068424
5909991068455
5909990030682
5909991068431","Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
1595,PritorPlus,"Telmisartanum +
Hydrochlorothiazidum",tabletki,"80 mg + 25
mg","14 tabl.
28 tabl.
28 tabl. (28 x 1)
30 tabl.
56 tabl.
90 tabl.
98 tabl.","5909990644827
5909990644834
5909990644841
5909990644858
5909990644865
5909990644872
5909990644889","Rp
Rp
Rp
Rp
Rp
Rp
Rp",Bayer Pharma AG,Bayer Pharma AG,DE
1596,Privigen,"Immunoglobulinum
humanum normale (IgG)",roztwór do infuzji,100 mg/ml,"1 fiol. 25 ml
1 fiol. 50 ml
1 fiol. 100 ml
1 fiol. 200 ml
1 fiol. 400 ml
3 fiol. 100 ml
3 fiol. 200 ml","5909990725823
5909990725786
5909990725793
5909990725809
5909991078676
5909990725830
5909990725847","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",CSL Behring GmbH,CSL Behring GmbH,DE
1597,Procoralan,Ivabradinum,tabletki powlekane,5 mg,"14 tabl.
28 tabl.
56 tabl.
84 tabl.
100 tabl.
98 tabl.
112 tabl.","5909990340392
5909990340408
5909990340439
5909990340446
5909990609215","Rp
Rp
Rp
Rp
Rp
Rp
Rp",Les Laboratoires Servier,"Anpharm
Przedsiębiorstwo
Farmaceutyczne S.A.
Servier (Ireland)
Industries Ltd
Les Laboratoires Servier
Industrie
Laboratorios Servier,
S.L.","PL
IE
FR
ES"
1598,Procoralan,Ivabradinum,tabletki powlekane,"7,5 mg","14 tabl.
28 tabl.
56 tabl.
84 tabl.
100 tabl.
98 tabl.
112 tabl.","5909990340453
5909990340460
5909990340477
5909990340484
5909990609222","Rp
Rp
Rp
Rp
Rp
Rp
Rp",Les Laboratoires Servier,"Anpharm
Przedsiębiorstwo
Farmaceutyczne S.A.
Les Laboratoires Servier
Industrie
Servier (Ireland)
Industries Ltd. (SII)
Laboratorios Servier,
S.L.","PL
FR
IE
ES"
1599,Procysbi,Mercaptamini bitartras,"kapsułki dojelitowe,
twarde",25 mg,60 kaps.,,Rpz,"Raptor Pharmaceuticals
Europe B.V.","Raptor Pharmaceuticals
Europe B.V.",GB
1600,Procysbi,Mercaptamini bitartras,"kapsułki dojelitowe,
twarde",75 mg,250 kaps.,,Rpz,"Raptor Pharmaceuticals
Europe B.V.","Raptor Pharmaceuticals
Europe B.V.",GB
1601,Prolia,Denosumabum,roztwór do wstrzykiwań,60 mg/ml,"1 amp.-strzyk. 1 ml (blister)
1 amp.-strzyk. 1 ml (pudełko)
1 amp.-strzyk. 1 ml z
zabezpieczeniem igły
1 fiol. 1 ml","5909990761609
5909990761630
5909990761647
5909990761654","Rp
Rp
Rp
Rp",Amgen Europe B.V.,"Amgen Europe B.V.
Amgen Technology
Ireland (ADL)","NL
IE"
1602,Prometax,Rivastigminum,kapsułki,"1,5 mg","28 kaps.
56 kaps.
112 kaps.
250 kaps.","5909990010738
5909990010745
5909990010752
5909990010936","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,"Novartis Farmaceutica
S.A.",ES
1603,Prometax,Rivastigminum,kapsułki,3 mg,"28 kaps.
56 kaps.
112 kaps.
250 kaps.","5909990010769
5909990010776
5909990010783
5909990010899","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,"Novartis Farmaceutica
S.A.",ES
1604,Prometax,Rivastigminum,kapsułki,"4,5 mg","28 kaps.
56 kaps.
112 kaps.
250 kaps.","5909990010790
5909990010806
5909990010837
5909990010905","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,"Novartis Farmaceutica
S.A.",ES
1605,Prometax,Rivastigminum,kapsułki,6 mg,"28 kaps.
56 kaps.
112 kaps.
250 kaps.","5909990010844
5909990010851
5909990010868
5909990010929","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,"Novartis Farmaceutica
S.A.",ES
1606,Prometax,Rivastigminum,roztwór doustny,2 mg/ml,"1 butelka 50 ml
1 butelka 120 ml","5909990010882
5909990010875","Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
1607,Prometax,Rivastigminum,system transdermalny,"4,6 mg/24 h","7 sasz.
30 sasz.
60 sasz.
90 sasz.","5909990751068
5909990751075
5909990751082
5909990751099","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
1608,Prometax,Rivastigminum,system transdermalny,"9,5 mg/24 h","7 sasz.
30 sasz.
60 sasz.
90 sasz.","5909990751105
5909990751136
5909990751143
5909990751150","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
1609,Prometax,Rivastigminum,system transdermalny,"13,3 mg/24 h","7 sasz.
30 sasz.
60 sasz.
90 sasz.",,"Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
1610,ProQuad,"Szczepionka przeciw
odrze, śwince, różyczce
i ospie wietrznej żywa","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",,"1 fiol. proszku + 1 fiol. rozp.
10 fiol. proszku + 10 fiol. rozp.
1 fiol. proszku + 1 amp.-strzyk.
rozp. + 1 igła
10 fiol. proszku + 10 amp.-
strzyk. rozp. + 10 igieł
1 fiol. proszku + 1 amp.-strzyk.
rozp.
10 fiol. proszku + 10 amp.-
strzyk. rozp.
20 fiol. proszku + 20 amp.-
strzyk. rozp.
1 fiol. proszku + 1 amp.-strzyk.
rozp. + 1 igła
10 fiol. proszku + 10 amp.-
strzyk. rozp. + 10 igieł
1 fiol. proszku + 1 amp.-strzyk.
rozp. + 2 igły
10 fiol. proszku + 10 amp.-
strzyk. rozp. + 20 igieł
20 fiol. proszku + 20 amp.-
strzyk. rozp. + 20 igieł
20 fiol. proszku + 20 amp.-
strzyk. rozp. + 40 igieł",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Pasteur MSD SNC,"Merck Sharp & Dohme
B.V.",NL
1611,Protaphane,Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","5 fiol. 10 ml (5 x1)
1 fiol.
5 fiol.",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
1612,Protaphane,Insulinum humanum,zawiesina do wstrzykiwań,"40 j.m./ml
(1,4 mg/ml)","5 fiol. 10 ml (5 x1)
1 fiol.
5 fiol.",,"Rp
Rp
Rp",Novo Nordisk A/S,Novo Nordisk A/S,DK
1613,Protaphane FlexPen,Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 wstrzykiwacz 3 ml
5 wstrzykiwaczy 3 ml
10 wstrzykiwaczy 3 ml",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
1614,Protaphane InnoLet,Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 wstrzykiwacz 3 ml
5 wstrzykiwaczy 3 ml
10 wstrzykiwaczy 3 ml",,"Rp
Rp
Rp",Novo Nordisk A/S,Novo Nordisk A/S,DK
1615,Protaphane Penfill,Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 wkład 3 ml
5 wkładów 3 ml
10 wkładów 3 ml",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
1616,Protelos,Strontii ranelas,"granulat do
przygotowania zawiesiny
doustnej",2 g,"7 sasz.
28 sasz.
14 sasz.
84 sasz.
56 sasz.
100 sasz.","5909990002085
5909990002092","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Les Laboratoires Servier,"Anpharm
Przedsiębiorstwo
Farmaceutyczne S.A.
Les Laboratoires Servier
Industrie","PL
FR"
1617,Protopic,Tacrolimusum,maść,"0,03 %","1 tuba 30 g
1 tuba 60 g
1 tuba 10 g","5909990004973
5909990004980
5909990007271","Rp
Rp
Rp","Astellas Pharma Europe
BV",Astellas Ireland Co. Ltd,IE
1618,Protopic,Tacrolimusum,maść,"0,1 %","1 tuba 30 g
1 tuba 60 g
1 tuba 10 g","5909990004997
5909990005000
5909990007288","Rp
Rp
Rp","Astellas Pharma Europe
BV",Astellas Ireland Co. Ltd,IE
1619,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"50 j.m./0,5 ml","1 fiol.
5 fiol.
10 fiol.","5909990896110
5909990896127
5909990896134","Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
1620,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"75 j.m./0,5 ml","1 fiol.
5 fiol.
10 fiol.",,"Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
1621,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"100 j.m./0,5
ml","1 fiol.
5 fiol.
10 fiol.","5909990896011
5909990896028
5909990896035","Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
1622,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"150 j.m./0,18
ml (833
j.m./ml)",1 wkład + 3 igły,,Rpz,"Merck Sharp & Dohme
Ltd.","N.V. Organon
Organon Ireland LTD.","NL
IE"
1623,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"150 j.m./0,5
ml","1 fiol.
5 fiol.
10 fiol.",,"Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
1624,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"200 j.m./0,5
ml","1 fiol.
5 fiol.
10 fiol.",,"Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
1625,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"225 j.m./0,5
ml","1 fiol.
5 fiol.
10 fiol.",,"Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
1626,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"300 j.m./0,36
ml (833
j.m./ml)","1 zestaw  (1 wkład + 2
opakowania z 3 igłami do pena)",5909990339754,Rpz,"Merck Sharp & Dohme
Ltd.","Organon (Ireland) Ltd.
N.V. Organon","IE
NL"
1627,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"600 j.m./0,72
ml (833
j.m./ml)","1 zestaw  (1 wkład + 2
opakowania z 3 igłami do pena)",5909990339761,Rpz,"Merck Sharp & Dohme
Ltd.","Organon (Ireland) Ltd.
N.V. Organon","IE
NL"
1628,Puregon,Follitropinum beta,roztwór do wstrzykiwań,"900 j.m./1,08
ml (833
j.m./ml)",1 wkład + 9 igieł,,Rpz,"Merck Sharp & Dohme
Ltd.","N.V. Organon
Organon Ireland LTD.","NL
IE"
1629,Pylobactell,13C-urea,tabletki rozpuszczalne,100 mg,1 zestaw,,Rp,"Torbet Laboratories
Limited",J L Bragg Limited,GB
1630,Qtern,"Saxagliptinum +
Dapagliflozinum",tabletki powlekane,5 mg + 10 mg,"14 tabl.
28 tabl.
30 tabl.
98 tabl.","5000456010986
5000456010979","Rp
Rp
Rp
Rp",AstraZeneca AB,"AstraZeneca AB
AstraZeneca UK Ltd.
AstraZeneca GmbH","SE
GB
DE"
1631,Quadramet,"Produkt
radiofarmaceutyczny",roztwór do wstrzykiwań,2-4 GBq/ml,1 fiol.,5909990942015,Rpz,Cis bio international B.P.,Cis bio international B.P.,FR
1632,Quinsair,Levofloxacinum,roztwór do nebulizacji,240 mg,56 amp.,,Rp,Aptalis Pharma SAS,Aptalis Pharma SAS,FR
1633,Qutenza,Capsaicinum,plaster na skórę,179 mg,"1 plaster
2 plastry","5909990737659
5909990737666","Rp
Rp","Astellas Pharma Europe
BV","GP Grenzach
Produktions GmbH",DE
1634,Raloxifene Teva,"Raloxifeni
hydrochloridum",tabletki powlekane,60 mg,"14 tabl.
28 tabl.
84 tabl.","5909990774890
5909990774906
5909990774937","Rp
Rp
Rp",Teva Pharma B.V.,"Teva Pharmaceutical
Works Private Limited
Company
Teva UK Ltd.
Pharmachemie B.V.
Teva Sante","HU
GB
NL
FR"
1635,Ranexa,Ranolazinum,"tabletki o przedłużonym
uwalnianiu",375 mg,"30 tabl.
60 tabl. w blistrze
60 tabl. w butelce
100 tabl.","5909990725878
5909990725854
5909990725861
5909990725885","Rp
Rp
Rp
Rp","Menarini International
Operations Luxembourg
S.A. (MIOL)","Fine Foods N.T.M. SpA
Berlin-Chemie AG
Menarini-Von Heyden
GmbH
Fine Foods N.T.M. SpA","IT
DE
DE
IT"
1636,Ranexa,Ranolazinum,"tabletki o przedłużonym
uwalnianiu",500 mg,"30 tabl.
60 tabl. w blistrze
60 tabl. w butelce
100 tabl.","5909990725939
5909990725892
5909990725908
5909990725946","Rp
Rp
Rp
Rp","Menarini International
Operations Luxembourg
S.A. (MIOL)","Berlin-Chemie AG
Fine Foods N.T.M. SpA
Menarini-Von Heyden
GmbH
Fine Foods N.T.M. SpA","DE
IT
DE
IT"
1637,Ranexa,Ranolazinum,"tabletki o przedłużonym
uwalnianiu",750 mg,"30 tabl.
60 tabl. w blistrze
60 tabl. w butelce
100 tabl.","5909990725977
5909990725953
5909990725960
5909990725984","Rp
Rp
Rp
Rp","Menarini International
Operations Luxembourg
S.A. (MIOL)","Fine Foods N.T.M. SpA
Menarini-Von Heyden
GmbH
Berlin-Chemie AG
Fine Foods N.T.M. SpA","IT
DE
DE
IT"
1638,Rapamune,Sirolimusum,roztwór doustny,1 mg/ml,1 butelka 60 ml + 30 strzyk.,5909990893645,Rp,Pfizer Ltd.,"Wyeth Pharmaceuticals
Pfizer Service Company
BVBA","GB
BE"
1639,Rapamune,Sirolimusum,tabletki drażowane,"0,5 mg","30 tabl.
100 tabl.","5909990818587
5909990818594","Rp
Rp",Pfizer Ltd.,"Pfizer Ireland
Pharmaceuticals
Pfizer Manufacturing
Deutschland GmbH","IE
DE"
1640,Rapamune,Sirolimusum,tabletki drażowane,1 mg,"30 tabl.
100 tabl.","5909990985210
5909990985227","Rp
Rp",Pfizer Ltd.,"Pfizer Ireland
Pharmaceuticals
Pfizer Manufacturing
Deutschland GmbH","IE
DE"
1641,Rapamune,Sirolimusum,tabletki drażowane,2 mg,"30 tabl.
100 tabl.","5909990009770
5909990009787","Rp
Rp",Pfizer Ltd.,"Pfizer Ireland
Pharmaceuticals
Pfizer Manufacturing
Deutschland GmbH","IE
DE"
1642,Rapilysin,Reteplasum,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",10 j.m./ml,"2 fiol. 10 j.m. proszku  + 2 amp.-
strzyk. 10 ml rozp.  + 2
przyrządy do sporz. roztw.  + 2
igły",5909990000593,Rpz,Actavis Group PTC ehf.,CENEXI,FR
1643,Rapiscan,Regadenosonum,roztwór do wstrzykiwań,400 mcg/5 ml,1 fiol. 5 ml,,Rpz,"Rapidscan Pharma
Solutions EU Ltd.","AndersonBrecon (UK)
Limited",GB
1644,Raplixa,"Fibrinogenum humanum
+ Trombinum humanum",klej do tkanek,"79 mg + 726
IU","1 fiol. 1 g
1 fiol. 2 g
1 fiol. 0,5 g",,"Rpz
Rpz
Rpz","ProFibrix BV (The
Medicines Company)","ProFibrix BV (The
Medicines Company)",NL
1645,Rasagiline Mylan,Rasagilini tartras,tabletki,1 mg,"7 tabl.
7 tabl.
10 tabl.
10 tabl.
28 tabl.
28 tabl.
30 tabl.
30 tabl.
100 tabl.
100 tabl.
112 tabl.
112 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Mylan S.A.S.,"Synthon Hispania S.L.
Mylan Hungary Kft.
Synthon s.r.o,","ES
HU
CZ"
1646,Rasagiline ratiopharm,Rasagilinum,tabletki,1 mg,"7 tabl.
10 tabl.
28 tabl.
30 tabl. w blistrze
30 tabl. w butelce
100 tabl.
112 tabl.","5909991210250
5909991210267
5909991210274
5909991210281
5909991210311
5909991210298
5909991210304","Rp
Rp
Rp
Rp
Rp
Rp
Rp",Teva B.V.,"Teva Pharmaceuticals
Europe B.V.",NL
1647,Rasilamlo,"Aliskirenum +
Amlodipinum",tabletki powlekane,"150 mg + 5
mg","14 tabl.
28 tabl.
56 tabl.
98 tabl.
280 tabl.
30 tabl.
90 tabl.
56 tabl.
98 tabl.
14 tabl.
28 tabl.
56 tabl.
98 tabl.
280  tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Farma S.p.A.,IT
1648,Rasilamlo,"Aliskirenum +
Amlodipinum",tabletki powlekane,"150 mg + 10
mg","14 tabl.
28 tabl.
56 tabl.
98 tabl.
280 tabl.
30 tabl.
90 tabl.
56 tabl.
98 tabl.
14 tabl.
28 tabl.
56 tabl.
98 tabl.
280 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Farma S.p.A.,IT
1649,Rasilamlo,"Aliskirenum +
Amlodipinum",tabletki powlekane,"300 mg + 5
mg","14 tabl.
28 tabl.
56 tabl.
98 tabl.
280 tabl.
30 tabl.
90 tabl.
56 tabl.
98 tabl.
14 tabl.
28 tabl.
56 tabl.
98 tabl.
280 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Farma S.p.A.,IT
1650,Rasilamlo,"Aliskirenum +
Amlodipinum",tabletki powlekane,"300 mg + 10
mg","14 tabl.
28 tabl.
56 tabl.
98 tabl.
280 tabl.
30 tabl.
90 tabl.
56 tabl.
98 tabl.
14 tabl.
28 tabl.
56 tabl.
98 tabl.
280  tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Farma S.p.A.,IT
1651,Rasilez,Aliskirenum,tabletki powlekane,150 mg,"7 tabl.
14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl. (3x28 szt.)
90 tabl.
98 tabl. (2x49 szt.)
98 tabl.
98 tabl. (2 x 49 x 1)
280 tabl. (20 x 14)","5909990066469
5909990066476
5909990066483
5909990066490","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma S.p.A.,IT
1652,Rasilez,Aliskirenum,tabletki powlekane,300 mg,"7 tabl.
14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
56 tabl. (56 x 1)
84 tabl. (3x28 szt.)
90 tabl. (3 x 30)
98 tabl.
90 tabl.
98 tabl. (2x49 szt.)
98 tabl. (2 x 49 x 1)
280 tabl. (20 x 14)","5909990066506
5909990066520
5909990066537
5909990066544","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma S.p.A.,IT
1653,Rasilez HCT,"Aliskirenum +
Hydrochlorothiazidum",tabletki powlekane,"150 mg +
12,5 mg","7 tabl.
7 tabl.
14 tabl.
14 tabl.
28 tabl.
28 tabl.
30 tabl.
30 tabl.
50 tabl.
50 tabl.
56 tabl.
56 tabl.
56 tabl.
90 tabl.
90 tabl.
98 tabl.
98 tabl.
98 tabl.
280 tabl.
280 tabl.","5909990679300
5909990679324
5909990679331
5909990679348
5909990679355
5909990679362
5909990679379
5909990679386
5909990679393
5909990679409
5909990679423
5909990679430
5909990679447
5909990679454
5909990679461
5909990679478
5909990679485
5909990679492
5909990679508
5909990679539","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma S.p.A.,IT
1654,Rasilez HCT,"Aliskirenum +
Hydrochlorothiazidum",tabletki powlekane,"150 mg + 25
mg","7 tabl.
7 tabl.
14 tabl.
14 tabl.
28 tabl.
28 tabl.
30 tabl.
30 tabl.
50 tabl.
50 tabl.
56 tabl.
56 tabl.
56 tabl.
90 tabl.
90 tabl.
98 tabl.
98 tabl.
98 tabl.
280 tabl.
280 tabl.","5909990679546
5909990679645
5909990679553
5909990679652
5909990679560
5909990679669
5909990679577
5909990679676
5909990679584
5909990679683
5909990679591
5909990679607
5909990679690
5909990679621
5909990679737
5909990679638
5909990679706
5909990679744
5909990679720
5909990679751","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma S.p.A.,IT
1655,Rasilez HCT,"Aliskirenum +
Hydrochlorothiazidum",tabletki powlekane,"300 mg +
12,5 mg","7 tabl.
7 tabl.
14 tabl.
14 tabl.
28 tabl.
28 tabl.
30 tabl.
30 tabl.
50 tabl.
50 tabl.
56 tabl.
56 tabl.
56 tabl.
90 tabl.
90 tabl.
98 tabl.
98 tabl.
98 tabl.
280 tabl.
280 tabl.","5909990679768
5909990679898
5909990679775
5909990679904
5909990679782
5909990679959
5909990679799
5909990679966
5909990679805
5909990679973
5909990679850
5909990679867
5909990679980
5909990679874
5909990680085
5909990679881
5909990680061
5909990680092
5909990680078
5909990680108","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma S.p.A.,IT
1656,Rasilez HCT,"Aliskirenum +
Hydrochlorothiazidum",tabletki powlekane,"300 mg + 25
mg","7 tabl.
7 tabl.
14 tabl.
14 tabl.
28 tabl.
28 tabl.
30 tabl.
30 tabl.
50 tabl.
50 tabl.
56 tabl.
56 tabl.
56 tabl.
90 tabl.
90 tabl.
98 tabl.
98 tabl.
98 tabl.
280 tabl.
280 tabl.","5909990680115
5909990680207
5909990680122
5909990680252
5909990680139
5909990680269
5909990680146
5909990680276
5909990680153
5909990680283
5909990680160
5909990680177
5909990680290
5909990680184
5909990680344
5909990680191
5909990680306
5909990680351
5909990680337
5909990680368","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma S.p.A.,IT
1657,Ratiograstim,Filgrastimum,"roztwór do wstrzykiwań
lub infuzji","48 mln
j.m./0,8 ml","1 amp.-strzyk. 0,8 ml
5 amp.-strzyk. 0,8 ml
10 amp.-strzyk. 0,8 ml
10 amp.-strzyk. 0,8 ml (2 x 5)
1 amp.-strzyk. 0,8 ml
5 amp.-strzyk. 0,8 ml","5909990660797
5909990660803
5909990660810
5909990846689
5909990846696
5909990846702","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",ratiopharm GmbH,Merckle Biotec GmbH,DE
1658,Ratiograstim,Filgrastimum,"roztwór do wstrzykiwań
lub infuzji","30 mln
j.m./0,5 ml","1 amp.-strzyk. 0,5 ml
5 amp.-strzyk. 0,5 ml
10 amp.-strzyk. 0,5 ml (2 x 5)
10 amp.-strzyk. 0,5 ml
1 amp.-strzyk. 0,5 ml
5 amp.-strzyk. 0,5 ml","5909990660674
5909990660681
5909990846498
5909990660698
5909990846504
5909990846528","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",ratiopharm GmbH,Merckle Biotec GmbH,DE
1659,Ravicti,Glyceroli phenylbutyras,płyn doustny,"1,1 g/ml","1 butelka 25 ml + 1 nasadka
1 butelka 25 ml + 1 nasadka
adaptująca + 7 strzyk.doust.
(1 ml)
1 butelka 25 ml + 1 nasadka
adaptująca + 7 strzyk.doust.
(3 ml)
1 butelka 25 ml + 1 nasadka
adaptująca + 7 strzyk.doust.
(5 ml)",,"Rpz
Rpz
Rpz
Rpz","Horizon Therapeutics
Limited","AndersonBrecon (UK)
Limited",GB
1660,Raxone,Idebenonum,tabletki powlekane,150 mg,180 tabl.,,Rpz,"Santhera Pharmaceuticals
(Deutschland) GmbH","Santhera
Pharmaceuticals
(Deutschland) GmbH",DE
1661,Rebetol,Ribavirinum,kapsułki twarde,200 mg,"112 kaps.
84 kaps.
140 kaps.
168 kaps.","5909990999811
5909990999828
5909990999835","Rpz
Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",SP S.A.,FR
1662,Rebetol,Ribavirinum,płyn doustny,40 mg/ml,1 butelka 100 ml,5909990011162,Rpz,"Merck Sharp & Dohme
Ltd.",SP S.A.,FR
